Timestamp,Name,Temperature,RSSI
2025-06-07 09:36:53,Solar_Harvester,22.63,-69
2025-06-07 09:37:02,Solar_Harvester,22.56,-64
2025-06-07 09:37:18,Solar_Harvester,22.56,-65
2025-06-07 09:37:43,Solar_Harvester,22.56,-67
2025-06-07 09:38:08,Solar_Harvester,22.56,-69
2025-06-07 09:38:51,Solar_Harvester,22.56,-69
2025-06-07 09:39:38,Solar_Harvester,22.56,-66
2025-06-07 09:40:18,Solar_Harvester,22.50,-66
2025-06-07 09:40:28,Solar_Harvester,22.50,-69
2025-06-07 09:40:37,Solar_Harvester,22.50,-65
2025-06-07 09:41:07,Solar_Harvester,22.50,-66
2025-06-07 09:41:16,Solar_Harvester,22.50,-65
2025-06-07 09:41:35,Solar_Harvester,22.44,-69
2025-06-07 09:42:02,Solar_Harvester,22.44,-66
2025-06-07 09:42:33,Solar_Harvester,22.50,-67
2025-06-07 09:42:41,Solar_Harvester,22.50,-69
2025-06-07 09:42:48,Solar_Harvester,22.50,-66
2025-06-07 09:42:56,Solar_Harvester,22.50,-66
2025-06-07 09:43:18,Solar_Harvester,22.50,-65
2025-06-07 09:43:25,Solar_Harvester,22.50,-66
2025-06-07 09:43:40,Solar_Harvester,22.56,-65
2025-06-07 09:43:48,Solar_Harvester,22.50,-65
2025-06-07 09:44:32,Solar_Harvester,22.56,-65
2025-06-07 09:44:40,Solar_Harvester,22.56,-69
2025-06-07 09:44:47,Solar_Harvester,22.56,-65
2025-06-07 09:45:11,Solar_Harvester,22.56,-66
2025-06-07 09:45:26,Solar_Harvester,22.56,-65
2025-06-07 09:45:49,Solar_Harvester,22.63,-65
2025-06-07 09:45:56,Solar_Harvester,22.63,-65
2025-06-07 09:46:04,Solar_Harvester,22.63,-65
2025-06-07 09:46:25,Solar_Harvester,22.63,-66
2025-06-07 09:46:39,Solar_Harvester,22.63,-66
2025-06-07 09:47:13,Solar_Harvester,22.69,-65
2025-06-07 09:47:19,Solar_Harvester,22.69,-69
2025-06-07 09:47:57,Solar_Harvester,22.75,-66
2025-06-07 09:48:03,Solar_Harvester,22.75,-66
2025-06-07 09:48:09,Solar_Harvester,22.75,-66
2025-06-07 09:48:38,Solar_Harvester,22.75,-65
2025-06-07 09:48:50,Solar_Harvester,22.75,-65
2025-06-07 09:48:57,Solar_Harvester,22.81,-69
2025-06-07 09:49:03,Solar_Harvester,22.81,-65
2025-06-07 09:49:09,Solar_Harvester,22.81,-65
2025-06-07 09:49:15,Solar_Harvester,22.81,-66
2025-06-07 09:49:21,Solar_Harvester,22.81,-65
2025-06-07 09:49:33,Solar_Harvester,22.81,-66
2025-06-07 09:49:39,Solar_Harvester,22.81,-65
2025-06-07 09:49:44,Solar_Harvester,22.81,-67
2025-06-07 09:49:50,Solar_Harvester,22.81,-69
2025-06-07 09:50:01,Solar_Harvester,22.81,-66
2025-06-07 09:50:07,Solar_Harvester,22.88,-66
2025-06-07 09:50:17,Solar_Harvester,22.88,-66
2025-06-07 09:50:32,Solar_Harvester,22.88,-66
2025-06-07 09:50:41,Solar_Harvester,22.94,-66
2025-06-07 09:51:01,Solar_Harvester,22.94,-66
2025-06-07 09:51:11,Solar_Harvester,23.00,-65
2025-06-07 09:51:21,Solar_Harvester,23.00,-67
2025-06-07 09:51:40,Solar_Harvester,23.00,-65
2025-06-07 09:51:45,Solar_Harvester,23.06,-69
2025-06-07 09:51:49,Solar_Harvester,23.06,-66
2025-06-07 09:52:07,Solar_Harvester,23.06,-65
2025-06-07 09:52:11,Solar_Harvester,23.13,-69
2025-06-07 09:52:15,Solar_Harvester,23.13,-69
2025-06-07 09:52:19,Solar_Harvester,23.13,-65
2025-06-07 09:52:36,Solar_Harvester,23.19,-65
2025-06-07 09:52:40,Solar_Harvester,23.19,-65
2025-06-07 09:52:48,Solar_Harvester,23.19,-69
2025-06-07 09:52:53,Solar_Harvester,23.25,-65
2025-06-07 09:53:10,Solar_Harvester,23.25,-65
2025-06-07 09:53:19,Solar_Harvester,23.31,-65
2025-06-07 09:53:40,Solar_Harvester,23.31,-69
2025-06-07 09:53:40,Solar_Harvester,23.31,-65
2025-06-07 09:53:45,Solar_Harvester,23.38,-65
2025-06-07 09:53:49,Solar_Harvester,23.38,-66
2025-06-07 09:53:53,Solar_Harvester,23.38,-65
2025-06-07 09:54:15,Solar_Harvester,23.44,-65
2025-06-07 09:54:19,Solar_Harvester,23.44,-66
2025-06-07 09:54:27,Solar_Harvester,23.50,-65
2025-06-07 09:54:40,Solar_Harvester,23.50,-66
2025-06-07 09:54:44,Solar_Harvester,23.50,-65
2025-06-07 09:54:49,Solar_Harvester,23.50,-66
2025-06-07 09:54:53,Solar_Harvester,23.56,-65
2025-06-07 09:54:58,Solar_Harvester,23.56,-69
2025-06-07 09:55:02,Solar_Harvester,23.56,-65
2025-06-07 09:55:07,Solar_Harvester,23.56,-67
2025-06-07 09:55:11,Solar_Harvester,23.56,-65
2025-06-07 09:55:16,Solar_Harvester,23.56,-64
2025-06-07 09:55:21,Solar_Harvester,23.63,-65
2025-06-07 09:55:39,Solar_Harvester,23.63,-66
2025-06-07 09:55:49,Solar_Harvester,23.69,-65
2025-06-07 09:55:58,Solar_Harvester,23.69,-66
2025-06-07 09:56:27,Solar_Harvester,23.69,-69
2025-06-07 09:56:41,Solar_Harvester,23.69,-65
2025-06-07 09:56:55,Solar_Harvester,23.75,-65
2025-06-07 09:57:00,Solar_Harvester,23.75,-65
2025-06-07 09:57:10,Solar_Harvester,23.75,-65
2025-06-07 09:57:20,Solar_Harvester,23.75,-65
2025-06-07 09:57:24,Solar_Harvester,23.75,-67
2025-06-07 09:57:34,Solar_Harvester,23.75,-69
2025-06-07 09:57:44,Solar_Harvester,23.75,-65
2025-06-07 09:57:53,Solar_Harvester,23.75,-65
2025-06-07 09:57:58,Solar_Harvester,23.75,-65
2025-06-07 09:58:12,Solar_Harvester,23.75,-69
2025-06-07 09:58:17,Solar_Harvester,23.75,-66
2025-06-07 09:58:22,Solar_Harvester,23.75,-65
2025-06-07 09:58:27,Solar_Harvester,23.75,-65
2025-06-07 09:58:32,Solar_Harvester,23.75,-65
2025-06-07 09:58:36,Solar_Harvester,23.81,-69
2025-06-07 09:58:41,Solar_Harvester,23.81,-66
2025-06-07 09:59:00,Solar_Harvester,23.81,-66
2025-06-07 09:59:05,Solar_Harvester,23.81,-65
2025-06-07 09:59:52,Solar_Harvester,23.81,-66
2025-06-07 10:00:01,Solar_Harvester,23.81,-67
2025-06-07 10:00:06,Solar_Harvester,23.81,-65
2025-06-07 10:00:15,Solar_Harvester,23.81,-69
2025-06-07 10:00:19,Solar_Harvester,23.88,-65
2025-06-07 10:00:24,Solar_Harvester,23.88,-65
2025-06-07 10:00:33,Solar_Harvester,23.88,-65
2025-06-07 10:00:50,Solar_Harvester,23.88,-69
2025-06-07 10:00:59,Solar_Harvester,23.88,-65
2025-06-07 10:01:13,Solar_Harvester,23.88,-65
2025-06-07 10:01:26,Solar_Harvester,23.88,-69
2025-06-07 10:01:30,Solar_Harvester,23.88,-65
2025-06-07 10:01:39,Solar_Harvester,23.94,-66
2025-06-07 10:01:44,Solar_Harvester,23.94,-65
2025-06-07 10:01:48,Solar_Harvester,23.94,-65
2025-06-07 10:01:57,Solar_Harvester,23.94,-66
2025-06-07 10:02:02,Solar_Harvester,23.94,-65
2025-06-07 10:02:06,Solar_Harvester,23.94,-69
2025-06-07 10:02:10,Solar_Harvester,24.00,-65
2025-06-07 10:02:19,Solar_Harvester,24.00,-65
2025-06-07 10:02:24,Solar_Harvester,24.00,-65
2025-06-07 10:02:38,Solar_Harvester,24.00,-69
2025-06-07 10:02:42,Solar_Harvester,24.00,-66
2025-06-07 10:02:47,Solar_Harvester,24.00,-66
2025-06-07 10:02:51,Solar_Harvester,24.00,-66
2025-06-07 10:02:56,Solar_Harvester,24.00,-65
2025-06-07 10:03:00,Solar_Harvester,24.00,-66
2025-06-07 10:03:14,Solar_Harvester,24.06,-68
2025-06-07 10:03:19,Solar_Harvester,24.06,-67
2025-06-07 10:03:23,Solar_Harvester,24.06,-69
2025-06-07 10:03:42,Solar_Harvester,24.06,-65
2025-06-07 10:03:56,Solar_Harvester,24.06,-65
2025-06-07 10:04:01,Solar_Harvester,24.06,-66
2025-06-07 11:20:46,Solar_Harvester,23.88,-69
2025-06-07 11:20:51,Solar_Harvester,23.88,-68
